질환명,영문명,동의어,증상 키워드,정의,증상,원인,진단,치료,URL
아나필락시스,Anaphylactic shock,"['Anaphylactic shock', '과민성 쇼크', '아나필락시스성 쇼크', '아나필락틱 쇼크']","빈맥, 의식 불명, 기침, 호흡곤란, 구토, 발진, 저림, 피부소양감, 가슴 통증, 저혈압","아나필락시스(아나필락틱 쇼크)는 특정 물질에 대해 몸에서 과민 반응을 일으키는 것을 의미합니다. 특정 물질을 극소량만 접촉하더라도 전신에 증상이 나타나는 심각한 알레르기 반응입니다. 주로 즉각적인 반응이 나타납니다. 즉시 치료하면 별다른 문제 없이 회복되지만, 진단과 치료가 지연되면 치명적일 수도 있습니다.","과민 반응 물질에 접촉한 직후부터 대부분 1시간 안에 기침, 흉통, 입과 손발에 저린 감각, 빈맥, 소양증을 동반한 발진, 구토 등의 증상이 나타납니다. 이어서 호흡 곤란, 저혈압, 의식 소실 등이 나타나 사망하는 경우도 있습니다. ","아나필락시스는 어떤 특정한 물질에 과민 반응하는 사람이 그 물질에 접촉하면 발생합니다. 주로 페니실린 계열의 항생제나 해열진통제, 백신, 달걀, 땅콩, 해산물, 과일을 포함한 음식에 의해 일어나거나, 벌에 쏘이거나 곤충에 물렸을 때 일어날 수 있습니다.  ","아나필락시스는 주로 병력과 증상에 따라 진단합니다. 가장 중요한 진단 포인트는 비교적 멀쩡했던 사람이 특정 물질에 노출된 후 급속하게 다장기 증상(피부, 호흡기, 심혈관, 소화기계)이 진행되는 것입니다.","아나필락시스가 발생했을 때 가장 중요한 치료 방법은 에피네프린을 사용하는 것입니다. 휴대용 에피네프린이 있으면 먼저 허벅지에 자가 주사한 뒤 바로 병원으로 와야 합니다. 증상 완화를 위해 에피네프린 외에도 항히스타민제, 스테로이드, 혈압 상승제를 투여하기도 합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31517
근위축성 측색 경화증,Amyotrophic lateral sclerosis,"['Lou Gehrig disease', '근위축성 측삭경화증', '루게릭', '루게릭병']","손, 발 감각 저하, 피부 긴장도 저하, 근력 약화, 삼키기 곤란 , 언어장애","근위축성 측색 경화증(ALS)은 퇴행성 신경 질환으로, 원인이 정확히 밝혀지지 않은 희귀 질환입니다. 대뇌 및 척수의 운동신경원이 선택적으로 파괴되기 때문에 '운동신경원 질환'이라고 하며, 일명 '루게릭병'이라고도 합니다. 루게릭은 2,130경기 연속 출장 기록을 보유한 야구선수로, 근위축성 측색 경화증 진단을 받은 후 2년 만에 사망하였습니다.","근위축성 측색 경화증은 사지의 근력 약화와 근 위축, 사지 마비, 언어 장애, 호흡 기능의 저하로 인해 수년 내에 사망하는 만성 퇴행성 질환입니다. 초기에는 증상이 매우 미미하여 간과할 수 있습니다. 점차 팔과 다리에 경련이 발생하거나 힘이 빠져 자주 넘어지며, 목소리가 잘 나오지 않아 의사소통이 어려워집니다. 말기에는 삼킴 기능 장애로 인해 음식을 삼키지 못하여 쉽게 사레들고 호흡곤란이 발생합니다. 원칙적으로 근위축성 측생 경화증(루게릭병)은 운동신경 세포만 손상되는 질환이기 때문에 감각 장애, 방광 기능 장애, 지적 기능 장애는 거의 나타나지 않습니다.","근위축성 측색 경화증(루게릭병)의 원인은 정확히 밝혀지지 않았습니다. 다만 바이러스, 대사성, 감염성, 환경 오염으로 인한 중금속 축적, 면역성, 특별한 생활 사건이 발병 원인일 것으로 추정됩니다. 극히 드물게 부모로부터 유전되는 경우도 있습니다.","근위축성 측색 경화증(루게릭병)을 확진하기 위한 특정 검사는 없습니다. 전기생리학적 검사, 조직병리학적 검사를 시행하며, 비슷한 질환을 배제하기 위해 뇌척수액 검사, 근조직 검사, X-ray 및 MRI, 근전도 검사 등을 시행합니다.","현재 근위축성 측색 경화증(루게릭병)을 완치하는 특정 치료 방법은 없습니다. 근력 약화 방지, 영양 요법, 통증 관리, 호흡 재활, 언어 재활, 약물 치료 등과 같은 다방면의 대증적 요법을 시행합니다. 병의 진행을 낮추기 위한 목적으로 리루텍정(Riluzole)이라는 약을 사용하기도 합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32523
장폐색,Intestinal obstruction,"['ileus', '장폐색증']","빈맥, 복부 통증, 설사, 탈수, 장폐색, 구토, 복부팽만감, 변비, 저혈압","장폐색은 소장이나 대장의 일부가 여러 요인에 의해 부분적으로 또는 완전히 막혀서 장의 내용물(음식물, 소화액, 가스)이 빠져나가지 못하여, 배변과 가스가 장내에 축적되어 장애를 일으키는 현상을 말합니다.","장폐색의 대표적인 증상으로는 복통, 구토가 있습니다.",장폐색의 원인은 크게 장관이 기계적으로 막힌 경우와 장관의 운동이 마비된 경우로 나눌 수 있습니다.,장폐색을 비교적 쉽게 진단할 수 있는 검사 방법은 복부 단순 X-ray 촬영입니다. 환자가 서 있는 상태에서 사진을 찍었을 때 가스와 액체가 같이 관찰되면 장폐색 진단을 내릴 수 있습니다.,"장폐색을 치료하기 위해서 일단 금식하면서 수액 요법으로 수분, 전해질, 영양분을 공급하는 내과적인 요법을 실시합니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32067
아토피성 피부염,Atopic dermatitis,"['Atopic eczema', '소아 아토피', '아기 아토피', '아토피', '아토피 습진', '아토피피부', '아토피피부염']","물집, 피부 건조, 습진, 태선화, 환부의 분비물, 발진, 피부소양감","아토피성 피부염은 심한 가려움증을 동반하고 만성적으로 재발하는 피부 습진 질환입니다. 아토피성 피부염은 천식, 알레르기 비염, 만성 두드러기와 함께 대표적인 알레르기 질환 중 하나입니다. 보통 태열이라고 부르는 영아기 습진은 아토피 피부염의 시작으로 볼 수 있습니다. 아토피성 피부염의 발생 빈도는 나이가 들면서 점점 줄어들지만, 소아, 청소년, 성인에 이르기까지 호전과 악화를 반복하며 만성적인 경과를 보이기도 합니다. 전 세계적인 소아의 이환율은 약 10~30%입니다. 2010년 국내에서 실시한 설문 조사에서는 초등학생의 35.6%가 아토피 피부염으로 진단받았던 병력이 있다고 대답하였는데, 이는 2000년의 24.9%보다 현저히 증가한 것입니다.","아토피성 피부염의 가장 큰 특징은 심한 가려움증 및 외부의 자극이나 알레르기 유발 물질에 대한 매우 민감한 반응입니다. 가려움증은 보통 저녁에 심해지고, 이때 피부를 긁어서 피부의 습진성 변화가 발생하는 것이 특징입니다. 그리고 습진이 심해지면 다시 가려움증이 더욱 심해지는 악순환을 반복하게 됩니다.","아토피성 피부염은 환자의 유전적인 소인과 환경적인 요인, 환자의 면역학적 이상과 피부 보호막의 이상 등 여러 원인이 복합적으로 작용하여 나타나는 것으로 알려져 있습니다. 아토피 환자의 70~80%는 가족력이 있습니다. 부모 중 한쪽이 아토피성 피부염이 있으면 자녀의 50%에게, 부모 두 명에게 모두 아토피성 피부염이 있으면 자녀의 75%에게 아토피성 피부염이 나타납니다. ","아토피성 피부염은 특정 검사로 한 번에 진단하는 병이 아니라, 환자가 가지고 있는 특징적인 증상을 토대로 진단하는 병입니다. 아토피성 피부염 진단 기준에 해당하는 주 증상으로는 가려움증, 연령에 따라 특징적으로 나타나는 피부염의 모양 및 발생 부위, 아토피 질환의 가족력, 만성 및 재발 경과 등이 있습니다. ","아토피성 피부염의 치료 원칙은 증상의 발현과 악화를 예방하기 위해 원인과 유발 인자를 제거하고, 적절한 목욕 및 보습제 사용을 통해 피부를 튼튼하고 청결하게 유지하는 것입니다. 2차 피부감염증을 예방하기 위해서 필요한 경우 국소 스테로이드제, 국소 칼시뉴린억제제, 항히스타민제, 면역조절제, 항바이러스제 등을 적절하게 사용합니다. ",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31519
대상포진,Herpes zoster,"['Zoster', 'shingles']","딱지, 환부 통증, 두통, 발진","대상포진은 수두-대상포진 바이러스(varicella-zoster virus, VZV)가 소아기에 수두를 일으킨 후 신경 주위에 무증상으로 남아 있다가, 수두-대상포진 바이러스에 대한 면역력이 떨어질 때 신경을 타고 나와 피부에 발진을 일으키면서 심한 통증을 유발하는 질환을 의미합니다.","대상포진은 주로 몸통이나 엉덩이 부위에 생깁니다. 그러나 신경이 있는 부위이면 얼굴, 팔, 다리 등 어디에서든 발생할 수 있습니다. ","대상포진의 주된 원인은 (세포 매개성) 고령, 면역 저하제 사용, 이식, 에이즈 등으로 인해 면역력이 떨어지는 것입니다. 면역력이 떨어지면, 바이러스가 증식하여 신경을 따라 피부로 다시 나오면서 대상포진이 발생합니다. 암, 에이즈, 항암 치료, 방사선 치료, 이식 후 거부 반응을 막기 위해 면역 억제제를 복용하거나 장기간 스테로이드를 복용하는 경우에 면역력이 감소할 수 있습니다. 이외에 질병, 사고, 스트레스 등으로 몸의 면역력이 약해져 대상포진이 발생하기도 합니다. ","대상포진은 피부 병변의 모양을 확인하여 진단합니다. 대상포진의 수포는 신경을 따라 무리를 지어 특징적(발진, 수포, 농포, 가피의 여러 단계가 산재한 양상)으로 나타나기 때문입니다. 다만 전형적인 피부 변화가 나타나지 않는 대상포진이 있기 때문에 피부 병변을 긁어 현미경적 검사, 바이러스 배양 검사, 분자 유전자 검사를 시행할 수 있습니다.",대상포진은 항바이러스제를 사용하여 치료합니다. 조기에 항바이러스제를 투약하는 것이 효과가 좋습니다. 대상포진으로 인한 통증을 조절하기 위해 진통제를 복용합니다. 진통제의 종류는 증상의 정도에 따라 선택합니다.,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31541
난청,hearing loss,"['돌발성 난청', '선천성 난청', '소음성 난청', '전도성 난청', '전음성 난청']","청력장애, 이명, 어지러움, 귀의 통증","난청은 말, 소리를 듣는 데 어려움이 있는 증상을 의미합니다. 난청은 진단명이라기보다는 잘 들리지 않는 증상 자체를 말합니다. 난청의 원인은 매우 다양하며, 유발 원인에 따라 여러 진단명이 있습니다.","난청이 있으면 소리가 작게 들리거나 멀리서 오는 것으로 느껴집니다. 들리는 소리의 성질이 바뀌어 말소리가 왜곡되거나 깨져서 들리고, 특정 소리에 불쾌감이 생길 수도 있습니다. 시끄러운 곳에서 소리를 알아듣기 어려워지며, 소리의 방향을 알아채기가 어려워집니다. 이러한 난청의 증상은 각 원인에 따라 언제부터인지도 모르게 서서히 발생할 수도 있고, 어느 날 갑자기 발생할 수도 있습니다. 한쪽 귀만 유난히 안 들리거나 양쪽 귀가 비슷하게 안 들리기도 합니다. 귀울림(이명)은 난청에 가장 흔히 동반되는 증상입니다. 경미한 난청이 갑자기 발생하면, 난청보다 귀울림(이명)을 더 심하게 느끼기도 합니다. 난청의 원인에 따라서 어지럼증, 귀의 통증, 분비물이 동반되기도 합니다.","소리는 귀를 지나 달팽이관과 신경을 거쳐 뇌에 도달하여 인식됩니다. 소리가 잘 들리지 않는다는 것은 이 과정 중 어딘가에 문제가 있다는 것을 의미합니다. 난청의 원인은 매우 다양하지만, 외부 소리를 인식하는 과정 중 어느 부분에 문제가 있느냐에 따라 크게 두 종류로 나뉩니다.","난청이 발생한 원인을 알아내기 위해서는 우선 난청의 양상에 대해 자세한 상담을 진행하고, 이와 함께 외이도와 고막의 상태를 진찰해야 합니다. 각종 청력 검사는 난청의 여부와 정도를 판단하는 데 필수적입니다. 청력 검사의 결과에 따라 진단이 크게 달라지므로 반드시 전문가에게 검사를 받아야 합니다. 필요한 경우 특수 청력 검사, 측두골 CT, 측두골 MRI를 진행하기도 합니다. 선청성 난청은 조기에 진단하기 어려우므로 태어난 지 수일 이내에 신생아 난청 선별검사를 받는 것이 좋습니다. 이 검사에서 이상 소견이 발견되면 난청을 확진하기 위해 뇌파 검사를 다시 받습니다. ","난청을 일으킨 원인에 따라 치료 방법도 달라집니다. 전음성 난청은 외부 소리가 달팽이관까지 전달되지 못하거나 전달의 효율에 문제가 있는 경우입니다(원인 부분 참조). 따라서 항생제 등을 이용한 약물 치료, 중이염 수술 같은 수술 치료를 진행하여 난청을 치료할 수도 있습니다. 일시적인 문제가 아니거나 수술을 통해 청력을 향상시킬 수 없는 경우라면, 보청기가 큰 도움이 될 수 있습니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32171
만성 비염,Chronic rhinitis,"['비염', '비후성 비염']","후각장애, 기침, 코막힘, 재채기, 콧물","비염은 비강을 덮고 있는 점막의 염증성 질환을 의미합니다. 비염의 증상은 코막힘, 콧물, 기침, 재채기, 후각 소실, 후비루 증후군 등이 있습니다. 비염의 원인은 매우 다양하고 복합적으로 작용하는 경우가 많아서 임상 양상에 따라 급성, 만성, 위축성으로 나눌 수 있습니다. 비염의 종류 중 하나인 만성 비염 역시 매우 다양한 원인에 의해 발생하며, 크게 알레르기성과 비알레르기성으로 나눌 수 있습니다.","만성 비염에는 다양한 증상이 있습니다. 그중에서 가장 많이 나타나는 증상은 만성 콧물이며, 이 밖에도 코막힘, 재채기, 가려움증 등이 나타납니다. 코막힘이 심하여 양쪽 코가 모두 막힌 경우에는 입으로 호흡하는 구호흡이 나타날 수 있으며, 비강의 분비물이 뒤쪽 콧구멍으로 흘러내리는 경우에는 후비루 증후군이 나타날 수 있습니다. 염증이 지속되어 비점막의 신경이 노출되면서 발작성 재채기를 일으키기도 하며, 후각 소실이나 후각 감퇴가 나타날 수도 있습니다.","만성 비염은 원인에 따라 감염성과 비감염성으로 나눌 수 있습니다. 세균에 의해 발생하는 만성 감염성 비염의 경우, 급성 비염(감기)이 완전히 치료되지 않아 반복적으로 발생하거나, 부비동염이나 반복적인 편도선 염증으로 인한 비염이 오래 지속되거나, 전신적인 영양 상태가 불량하여 발생할 수 있습니다. 비감염성 만성 비염은 자율신경계의 불균형, 호르몬 이상, 약물, 정서 불안, 비강 구조 이상 및 비강 종양에 의해 나타날 수 있습니다.","알레르기 비염과 비알레르기 비염 모두 비강 분무 스테로이드제와 경구 약물 치료, 식염수를 이용한 비강 세척으로 증상을 개선할 수 있습니다. 알레르기 비염의 경우 원인이 되는 항원을 피하는 회피 요법과 알레르기 반응을 줄여주는 면역 요법도 도움이 됩니다.","만성 비염의 합병증으로 만성 비부비동염, 누낭염, 결막염, 중이염, 인후두염 등이 발생할 수 있습니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32437
급성 신우신염,Acute pyelonephritis,"['신우신염', '신우염']","오한, 열, 오심, 배뇨곤란, 근육통, 빈뇨, 배뇨 시 통증, 구토, 두통, 잔뇨감, 요통",급성 신우신염은 신장이나 신우 등 상부 요로계가 감염된 것을 의미합니다. 방광이나 요도의 감염은 하부 요로 감염이라고 합니다.,"급성 신우신염에 걸리면 열이 나며 등 뒤의 늑골척추각(맨 아래 갈비뼈와 척추가 만나는 부위)을 살짝만 쳐도 아픕니다. 요도염이나 방광염이 선행되는 경우가 많습니다. 소변을 눌 때 통증이 느껴지거나, 배뇨한 뒤에도 또 소변을 보고 싶어지는 증상이 나타납니다.","급성 신우신염의 원인은 대개 세균(박테리아) 감염입니다. 세균이 방광에서 신장으로 거슬러 올라가 발생하는 감염이 대부분입니다. 혈류를 통해 신장에 감염되기도 합니다. 예를 들어 세균 감염에 의하여 방광염이나 요도염이 발생하고, 어떤 원인에 의해 소변이 아래에서 위로 역류하는 이상 현상이 생기면 세균이 신장으로 거슬러 올라가 신우신염이 발생합니다. 대장균에 감염되는 경우가 많습니다. 최근에는 항생제 사용이 증가하면서 항생제 내성균의 감염이 문제가 되고 있습니다.","급성 신우신염은 소변 검사, 소변균 배양 검사, 혈액 검사를 통해 진단합니다. 증상을 보고 추정하기도 하지만 유사한 증상이 나타나는 질환이 많습니다. 이러한 검사를 하기 전에 미리 항생제를 쓰면 진단하기 어려워질 수 있습니다.","급성 신우신염의 치료에는 안정을 취하는 것이 중요합니다. 또한 충분한 수분을 섭취하는 것이 좋습니다. 약물 치료의 경우 우선 일반적인 항생제를 사용하고, 배양 검사의 결과에 따라 약물을 변경합니다. 증상에 따라 경구 항생제를 사용하거나 입원하여 정맥주사 항생제를 투여할 수 있습니다. 치료 기간은 환자의 상황과 병력, 증상의 정도에 따라 달라질 수 있지만 일반적으로 7~14일입니다. 신우신염의 심한 형태인 신장 농양이 발생한다면 농양 배액술이 필요할 수 있으며, 이 경우 항생제를 6주까지도 사용할 수 있습니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=31737
뇌전증,Epilepsy,"['epilepticseizure', 'epilepticsyndrome', '간질발작', '간질병', '간질증후군', '간질']","온몸이 떨림, 손떨림, 뇌전증 발작 , 의식 저하, 눈꺼풀의 떨림, 경련","뇌전증(간질)은 뇌 신경세포가 일시적으로 이상을 일으켜 과도한 흥분 상태를 유발함으로써 나타나는 의식 소실, 발작, 행동 변화 등과 같은 뇌 기능의 일시적 마비 증상이 만성적, 반복적으로 발생하는 뇌 질환을 의미합니다.",뇌전증(간질)의 가장 흔한 증상은 운동성 경련 발작입니다. 하지만 증상은 다양한 양상으로 나타납니다. 뇌의 영역과 위치에 따라 고유 기능이 모두 다르기 때문입니다. ,"뇌전증(간질)의 원인에는 임신 중의 영양 상태, 출산 시의 합병증, 두부 외상, 독성 물질, 뇌 감염증, 종양, 뇌졸중, 뇌의 퇴행성 변화 등이 있습니다. 하지만 아직 뇌전증(간질)의 정확한 발생 기전을 알 수 없는 경우도 많습니다. 뇌전증(간질)은 출생 시, 출생 후에 모두 발생할 수 있습니다. ","뇌전증(간질)의 원인을 알기 위해서는 우선 발작이 언제 어떻게 일어나고, 발작 시에 눈과 손이 어떤 모양이었으며, 발작이 얼마나 지속되었는지, 환자가 반응했는지, 환자가 기억하는지에 대한 문진을 시행합니다. 그 이후 증상에 따라 뇌자기 공명영상(MRI), 뇌파 검사(EEG), 양전자 방출 단층촬영법(PET) 등을 시행합니다.",뇌전증(간질)의 치료는 크게 약물 치료와 수술 치료로 구분됩니다. 두 치료 방법 중 약물 치료가 우선이며 기본입니다. 뇌전증(간질) 환자 10명 중 7~8명은 약으로 조절됩니다. 약으로 조절되는 7~8명 중 3명은 2~5년 정도의 약물 치료 후에 약을 끊어도 경련이 재발되지 않습니다. 약물로 조절되는 나머지 3~4명은 약을 끊으면 경련이 재발하므로 오랜 기간 항경련제를 복용해야 합니다. 약물로 뇌전증(간질)이 완전히 조절되지 않는 환자는 대략 10명 중 3명 정도입니다. 이들 중 수술 치료의 대상이 되는 환자는 뇌전증(간질) 수술을 진행합니다.,https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=30519
패혈증,Sepsis,['패혈증후군'],"빈맥, 빈호흡, 심부전, 오한, 열, 의식 저하, 소변량 감소, 저혈압",패혈증은 미생물 감염에 대한 전신적인 반응으로 주요 장기에 장애를 유발하는 질환입니다. 패혈증에 저혈압이 동반된 경우를 패혈성 쇼크라고 합니다.,"패혈증의 증상으로는 오한을 동반한 고열, 저체온과 동반되는 관절통, 두통, 권태감 등이 있습니다. 맥박은 빠르고 미약하며, 호흡은 빨라집니다. 패혈증이 중증이면 의식이 흐려집니다. 증상이 더 심해지면 저혈압에 빠지고 소변량이 줄면서 쇼크 상태에 이릅니다.","패혈증은 뇌수막염, 피부 화농증, 욕창, 폐 질환, 담낭염, 신우염, 골수염, 감염된 자궁 등 다양한 장기 감염에서 유발됩니다. 패혈증을 일으키는 병원균은 연쇄상구균, 포도상구균, 대장균, 폐렴균, 녹농균, 진균, 클렙시엘라 변형 녹농균 등이 있습니다.","패혈증의 증상이 나타나면 혈액, 소변, 뇌척수액 배양 검사를 시행합니다. 그 외 감염이 의심되는 부위가 있으면 별도로 추가적인 검사를 시행하여 진단합니다. 배양 검사 결과를 확인하는 데는 며칠이 걸리므로, 그 전에 빠른 진단을 위한 보조 검사로서 백혈구 수의 증감 혹은 급성 염증성 물질(ESR, CRP, procalcitonin 등)의 증가 상태를 살펴야 합니다. ","임상적으로 패혈증을 유발했다고 의심되는 균의 배양 검사를 시행하는 즉시, 주사용 항생제나 항진균제로 치료를 시작합니다. 항생제의 치료 기간은 균의 종류, 뇌막염의 합병 유무에 따라서 결정됩니다. 보통 1~3주 정도 치료해야 합니다. 내성균이 자라면 격리 치료를 해야 할 수 있습니다.",https://www.amc.seoul.kr/asan/healthinfo/disease/diseaseDetail.do?contentId=32319
