질환명,동의어,증상 키워드,증상1,증상2
아나필락시스,"['Anaphylactic shock', '과민성쇼크', '아나필락시스성쇼크', '아나필락틱쇼크']","['구토', '피부소양감', '구역', '히스테리구', '빈맥', '복통', '발진', '부종', '저혈압', '천명', '의식불명', '어지럼증', '실신', '안면홍조', '기침', '소양감', '호흡곤란', '저림', '가슴통증', '호흡장애']","원인에 노출된 후 대개는 30분 이내에 급성으로 나타난다

1) 호흡기
기관지 근육의 경련과 수축을 유발하여 호흡 곤란과 천명(기관지가 좁아져서 쌕쌕 거리는 소리가 나는 호흡음), 저산소증, 코막힘, 콧물 등이 나타난다.

2) 순환기
혈압이 떨어지고 뇌로 가는 혈류량이 줄어들어 두통이나 어지러움이 나타나며, 심하면 정신을 잃는다 (쇼크 상태). 자신도 모르게 대소변을 보기도 한다.

3) 소화기
혈압 저하로 오심과 구토가 생기고, 위장관으로 가는 혈류량이 감소하여 복통이 나타나기도 한다.

4) 피부
처음에는 입 주위나 얼굴에 따끔거리는 느낌, 혹은 입 안이 마르는 느낌이 동반되기도 한다. 피부 또는 점막에 두드러기, 소양감, 홍조, 또는 입술이나 혀에 혈관 부종이 생길 수 있다. 특히 목젖을 중심으로 하여 후두 부위에 심한 혈관 부종이 생기면 기도가 막혀 질식할 수 있으므로 연하곤란이나 목이 조여 드는 느낌이 나타나면 주의해야 한다.","과민 반응 물질에 접촉한 직후부터 대부분 1시간 안에 기침, 흉통, 입과 손발에 저린 감각, 빈맥, 소양증을 동반한 발진, 구토 등의 증상이 나타납니다. 이어서 호흡 곤란, 저혈압, 의식 소실 등이 나타나 사망하는 경우도 있습니다. "
루게릭병,"['Lou Gehrig disease', '근위축성측삭경화증', '루게릭', '루게릭병']","['손', '근력약화', '호흡곤란', '피부긴장도저하', '언어장애', '삼키기곤란', '호흡장애', '저혈압', '근육간대경련', '발감각저하', '실행증']","위운동신경세포가 파괴되면서 겉질숨뇌로와 겉질척수로가 점차 손상되고, 이에 따라 뇌줄기, 목, 가슴, 허리엉치분절이 담당하는 얼굴, 몸통, 사지에 위운동신경세포 손상 증상과 징후(위운동신경세포증후군)가 나타난다. 또한 척수의 각 분절의 앞뿔에 위치한 아래운동신경세포가 파괴되면서 아래운동신경세포 손상의 증상과 징후(아래운동신경세포증후군)가 함께 나타난다. 특히 혀근육이 부분적으로 수축하여 식사를 할 때 사래가 들리거나 기침을 하고, 흡인성 폐렴(음식물 등이 식도로 넘어가지 않고 기도로 잘못 흡인되어 야기되는 폐렴) 등이 발생하기 쉽다. 호흡곤란은 가로막과 갈비사이근육의 위약으로 발생할 수 있는데, 특히 가로막이 약하면 누워있을 때 복강 장기의 흉강 압박을 막지 못해 호흡곤란이 심해질 수 있다. 인지기능의 장애도 일부에서 동반된다고 알려져 있다.","근위축성 측색 경화증은 사지의 근력 약화와 근 위축, 사지 마비, 언어 장애, 호흡 기능의 저하로 인해 수년 내에 사망하는 만성 퇴행성 질환입니다. 초기에는 증상이 매우 미미하여 간과할 수 있습니다. 점차 팔과 다리에 경련이 발생하거나 힘이 빠져 자주 넘어지며, 목소리가 잘 나오지 않아 의사소통이 어려워집니다. 말기에는 삼킴 기능 장애로 인해 음식을 삼키지 못하여 쉽게 사레들고 호흡곤란이 발생합니다. 원칙적으로 근위축성 측생 경화증(루게릭병)은 운동신경 세포만 손상되는 질환이기 때문에 감각 장애, 방광 기능 장애, 지적 기능 장애는 거의 나타나지 않습니다."
장폐색,"['ileus', '장폐색증']","['구토', '빈맥', '장폐색', '복부통증', '탈수', '구역', '설사', '위경련', '변비', '저혈압', '복통', '복부팽만감']","기계적 장 폐색증으로 인한 증상에는 쥐어짜는듯한 극심한 복통, 오심과 구토, 복부팽만 등이 있는데, 막힌 부위에 따라 증상에 조금씩 차이가 있다. 그 외에 고형질의 장내용물은 내려가지 못하고 수분만 내려가서 소량의 물 설사를 하거나 아예 대변을 보지 못하는 경우도 있다.

기계적 장 폐색이 지속되면 장에서 정상적으로 수행해야 하는 소화 및 흡수 작용이 일어나지 못하기 때문에 수분과 전해질의 불균형이 나타나게 되고, 이로 인해 빈맥(맥박수가 90~100회 이상), 저혈압, 탈수 등의 증상이 나타난다. 또한 팽창된 장의 벽을 통해 장내의 세균과 유해 물질이 복강 내로 빠져나가거나, 장에 혈액 공급이 제대로 이루어지지 않는 허혈상태로 빠져들 수 있고, 탈장 등에 의해 범발성(명이 몸의 특정 부위에만 일어나는 것이 아니라 모든 장기 및 신체 부위에 널리 발생하는 것) 복막염 증상이 나타나기도 한다. 이런 경우에는 주로 열(fever)이 동반된다.

마비성 장 폐색증 증상은 기계적 장 폐색증과 비슷하게 복통, 오심 및 구토, 복부팽만 등이 주된 증상으로 나타나지만 그 양상은 약간의 차이를 보인다. 마비성 장 폐색증의 경우 산통과 같은 주기적인 극심한 복통이 없이 발생하는 복부팽만이 가장 특징적인 증상이라고 할 수 있다. 또한 기계적 장 폐색증과 달리 가스 배출(방귀)이 나타나고 설사도 계속 하게 된다.","장폐색의 대표적인 증상으로는 복통, 구토가 있습니다."
아토피 피부염,"['Atopic eczema', '소아아토피', '아기아토피', '아토피', '아토피습진', '아토피피부', '아토피피부염']","['습진', '피부건조', '피부소양감', '작열감', '발진', '태선화', '환부의분비물', '물집', '피부건조증', '소양감']","심한 소양증(가려움증)과 피부건조증, 피부 병변이 주요 증상이다.

피부건조는 가려움증을 유발하고 악화시킨다. 낮 동안에는 간헐적으로 가렵다가 대개 초저녁이나 한밤중에 심해진다. 가려워서 긁게 되면 습진성 피부 병변(병리적 변화)이 생기고 이러한 병변이 진행되면서 다시 더 심한 가려움이 유발되는 악순환이 반복된다.

피부 병변의 분포와 반응 양상은 환자의 연령에 따라 다소 다르게 나타난다. 유아의 경우 병변이 주로 진물이나 딱지가 지는 급성 습진이 나타나며 주로 얼굴, 머리에 잘 생기고 몸통이 거칠고 건조하며, 팔다리의 바깥쪽에 생기는 경우가 많다. 2세 이상 10세 이하의 소아기에는 얼굴보다는 오히려 팔다리의 접히는 부분, 목의 접히는 부위에 생기며 건조한 습진 형태로 나타나는 경우가 많다. 한편 동양인에게는 십대 이후에 잘 낫지 않는 심한 유두 부위 습진이 나타나는 경우가 있다.

아토피 피부염은 나이가 들면서 호전되거나 없어지는 경우가 많지만 호전된 후에도 특정 물질이나 자극에 의해 쉽게 가렵거나 염증 반응이 나타나는 경향이 있고, 성인기에 손 습진이 나타나는 경우가 많다. 성인기까지 아토피 피부염이 남는 경우에는 몸의 피부 증상은 호전되는 반면 얼굴에 홍반과 홍조 및 습진이 나타나는 경향이 있고, 접히는 부위는 오랫동안 긁어 피부가 두껍게 보이는 태선화 피부가 나타난다. 성인기라도 만성 습진만 나타나는 것이 아니라 만성 습진 위에 진물과 딱지가 앉는 급성 병변이 얼마 동안의 시간 간격을 두고 되풀이하여 일어난다.","아토피성 피부염의 가장 큰 특징은 심한 가려움증 및 외부의 자극이나 알레르기 유발 물질에 대한 매우 민감한 반응입니다. 가려움증은 보통 저녁에 심해지고, 이때 피부를 긁어서 피부의 습진성 변화가 발생하는 것이 특징입니다. 그리고 습진이 심해지면 다시 가려움증이 더욱 심해지는 악순환을 반복하게 됩니다."
대상포진,"['Zoster', ' shingles']","['수포', '딱지', '농포', '작열감', '두통', '발진', '소수포', '홍반', '환부통증']","대상포진은 신경절에 잠복상태로 있던 수두 바이러스가 재활성화 되면서 발생하며 피부의 병적인 증상은 신경근의 지각신경이 분포하는 부위에 국한되어 나타난다. 이 부위에 심한 통증과 감각이상이 동반되며 붉은 반점이 신경을 따라 나타난 후 여러 개의 물집이 무리를 지어 나타난다. 수포(물집)는 수두 환자에서 나타나는 것과 조직검사 결과가 동일하다. 수포는 10∼14일 동안 변화하는데, 고름이 차면서 탁해지다가 딱지로 변하게 된다. 접촉 등에 의해 물집이 터지면 궤양이 형성될 수 있다. 보통 2주 정도 지나면 딱지가 생기면서 증상이 좋아진다. 피부의 병적인 증상이 모두 좋아진 후에도 해당 부위가 계속 아프기도 하는데, 이러한 대상포진성 통증은 노인 환자의 약 30%에서 나타나고 마약성 진통제를 사용해야 할 정도로 통증이 심한 경우도 있다.","대상포진은 주로 몸통이나 엉덩이 부위에 생깁니다. 그러나 신경이 있는 부위이면 얼굴, 팔, 다리 등 어디에서든 발생할 수 있습니다. "
돌발성 난청,"['돌발성난청', '선천성난청', '소음성난청', '전도성난청', '전음성난청']","['청력장애', '어지럼증', '귀의통증', '어지러움', '이명']","확실한 원인 없이 감각신경성 난청이 수 시간 또는 2~3일 이내에 갑자기 발생하고, 이충만감, 이명, 또는 현기증을 동반하기도 한다.","난청이 있으면 소리가 작게 들리거나 멀리서 오는 것으로 느껴집니다. 들리는 소리의 성질이 바뀌어 말소리가 왜곡되거나 깨져서 들리고, 특정 소리에 불쾌감이 생길 수도 있습니다. 시끄러운 곳에서 소리를 알아듣기 어려워지며, 소리의 방향을 알아채기가 어려워집니다. 이러한 난청의 증상은 각 원인에 따라 언제부터인지도 모르게 서서히 발생할 수도 있고, 어느 날 갑자기 발생할 수도 있습니다. 한쪽 귀만 유난히 안 들리거나 양쪽 귀가 비슷하게 안 들리기도 합니다. 귀울림(이명)은 난청에 가장 흔히 동반되는 증상입니다. 경미한 난청이 갑자기 발생하면, 난청보다 귀울림(이명)을 더 심하게 느끼기도 합니다. 난청의 원인에 따라서 어지럼증, 귀의 통증, 분비물이 동반되기도 합니다."
만성 비염,"['비염', '비후성비염']","['비루', '재채기', '후각장애', '폐쇄성비음', '후각소실', '코막힘', '비폐색', '히스테리구', '콧물', '인두통및인후통', '기침']","원인에 관계없이 대부분의 만성 비염 환자들은 증상의 심한 정도의 차이만 있을 뿐 비슷한 임상적 양상을 보인다. 코막힘이 주된 증상으로, 보통 좌우가 교대로 막히며 증상의 정도가 다양하다. 심할 때에는 양쪽 코가 모두 막혀 코로 숨을 쉬는 것이 힘들어지므로 환자는 입을 통해 호흡을 하게 된다. 비루(콧물) 역시 잘 나타나는 증상이며, 대개의 경우 수양성 비루(맑은 콧물)이다. 그러나 세균에 감염되었을 때에는 황록색의 화농성 비루로 변하기도 한다. 비강의 분비물이 후비공(뒤쪽 콧구멍)으로 흘러내리는 경우가 많이 발생하는데, 이를 후비루라고 한다. 만성 비염은 염증으로 인해 비점막의 신경이 노출되면서 발작성 재채기를 일으키기도 하고, 후각소실이나 후각감퇴의 원인이 되기도 한다.","만성 비염에는 다양한 증상이 있습니다. 그중에서 가장 많이 나타나는 증상은 만성 콧물이며, 이 밖에도 코막힘, 재채기, 가려움증 등이 나타납니다. 코막힘이 심하여 양쪽 코가 모두 막힌 경우에는 입으로 호흡하는 구호흡이 나타날 수 있으며, 비강의 분비물이 뒤쪽 콧구멍으로 흘러내리는 경우에는 후비루 증후군이 나타날 수 있습니다. 염증이 지속되어 비점막의 신경이 노출되면서 발작성 재채기를 일으키기도 하며, 후각 소실이나 후각 감퇴가 나타날 수도 있습니다."
급성 신우신염,"['신우신염', '신우염']","['구토', '요통', '빈뇨', '근육통', '배뇨시통증', '잔뇨감', '두통', '오심', '배뇨곤란', '발열', '거품뇨', '열', '배뇨통', '오한', '혈뇨']","허리 통증과 발열 등이 주된 증상이며, 방광염을 동반한 경우에는 방광염의 증상인 긴급뇨(갑자기 소변이 보고 싶어 달려가다가 소변을 보는 것), 절박뇨(절박하게 소변이 마려우며 소변을 참지 못함), 배뇨통 등이 동반된다. 심한 감염의 경우에는 혈뇨를 보이기도 한다.","급성 신우신염에 걸리면 열이 나며 등 뒤의 늑골척추각(맨 아래 갈비뼈와 척추가 만나는 부위)을 살짝만 쳐도 아픕니다. 요도염이나 방광염이 선행되는 경우가 많습니다. 소변을 눌 때 통증이 느껴지거나, 배뇨한 뒤에도 또 소변을 보고 싶어지는 증상이 나타납니다."
뇌전증,"['epilepticseizure', ' epilepticsyndrome', '간질발작', '간질병', '간질증후군', '간질']","['의식저하', '온몸이떨림', '눈꺼풀의떨림', '뇌전증발작', '근육긴장이상', '청색증', '경련', '얼굴떨림', '손떨림', '근육간대경련', '혼수', '아린감']","1. 뇌전증 발작의 분류에 따른 증상
뇌전증 발작은 크게 부분 발작과 전신 발작으로 나뉜다. 부분 발작은 대뇌겉질(피질)의 일부분에서 시작되는 신경세포의 과흥분성 발작을 의미하고, 전신발작은 대뇌양쪽반구의 광범위한 부분에서 시작되는 발작을 의미한다.
1) 부분 발작
① 단순부분발작(simple partial seizure): 대뇌의 일부분에서 시작되며 대뇌 전반으로 퍼지지 않으며 의식이 유지되는 것이 특징이다. 발병 부위에 따라 운동, 감각, 정신증상 등 다양한 형태가 있다. 한 쪽 손이나 팔을 까딱까딱하거나 입꼬리가 당기는 형태의 단순부분운동발작, 한 쪽의 얼굴, 팔, 다리 등에 이상 감각이 나타나는 단순부분감각발작, 속에서 무언가 치밀어 올라오거나, 가슴이 두근거리고 모공이 곤두서고 땀이 나는 등의 증상을 보이는 자율신경계증상, 또는 이전의 기억이 떠오르거나 낯선 물건이 장소가 친숙하게 느껴지는 증상(데쟈뷰 현상) 등의 정신 증상이 나타날 수 있다.
② 복합부분발작(complex partial seizure): 복합부분발작의 특징은 의식의 장애가 있다는 점이다. 의식장애와 더불어 의도가 확실하지 않은 반복적 행동(자동증)이 나타날 수 있다. 흔히 초점 없는 눈으로 멍하니 한 곳을 쳐다보면서, 입맛을 쩝쩝 다시거나 손을 이리저리 휘저으면서 주변에 놓인 사물을 만지작거리는 모습이 관찰될 수 있다. 환자는 자신이 이러한 행동을 했다는 사실을 기억하지 못한다. 드물게 비우성반구(오른손잡이 한국인에서는 우측 뇌반구)에 발생하는 발작의 경우 자동증이 나타나지만 의식이 유지되고 말을 하며 환자가 기억을 하는 경우도 있다.
③ 부분발작에서 기인하는 이차성 전신발작(partial seizure with secondary generalization): 발작 초기에는 단순부분발작이나 복합부분발작의 형태를 보이지만, 신경세포의 과활동성이 대뇌 전반적으로 퍼지면서 전신 발작이 나타나게 된다. 환자는 쓰러지면서 전신이 강직되고 얼굴이 파랗게 되는 증상(청색증)이 초기에 나타나고, 약간의 시간이 흐른 후 팔다리를 규칙적으로 떠는 형태로 증상이 진행된다. 일반적으로 가장 흔하게 관찰되는 뇌전증 발작의 형태이다.

2) 전신 발작
① 소발작(결신발작; absence seizure, petit mal): 소발작은 주로 소아에서 발생한다. 정상적으로 행동하던 환아는 아무런 경고나 전조 증상 없이 갑자기 하던 행동을 멈추고 멍하게 앞이나 위를 바라보는 모습을 보이며, 간혹 고개를 푹 수그리는 모습을 보이기도 한다. 이 발작은 대개 5~10초 이내에 종료되며, 길어도 수십 초를 넘기지 않는 경우가 일반적이다. 환아는 자신이 발작을 했다는 사실을 인지하지 못한 채 발작 직전에 하던 행동이나 상황으로 복귀한다. 간혹 눈꺼풀이나 입 주위가 경미하게 떨리는 간대발작(clonic seizure)이나 입술을 핥고 옷을 만지작거리는 자동증이 동반될 수도 있다. 숨을 크게 몰아 쉴 때 나타나기 쉽다.
② 전신강직간대발작(대발작; generalized tonic-clonic seizure, grand mal): 전신발작 도중에 가장 흔히 볼 수 있는 발작 형태이다. 발작 초기부터 갑자기 정신을 잃고, 호흡곤란, 청색증, 고함 등이 나타나면서 전신이 뻣뻣해지고 눈동자와 고개가 한 쪽으로 돌아가는 강직 현상이 나타난다. 강직이 일정 시간 지속된 후 팔다리가 규칙적으로 떨리는 간대성 운동이 나타난다. 입에서 침과 거품이 나오고, 턱의 간대성 발작 때 혀를 깨물기도 한다. 발작 중에 소변이나 대변을 지리기도 한다. 발작 후에는 대개 깊은 수면이 뒤따르고, 일시적인 의식 장애가 나타나기도 하며, 일정 기간 동안의 기억 소실이 동반된다. 일반인들이 가장 많이 목격하였을 뇌전증 발작의 형태이다.
③ 근육간대경련발작(myoclonic seizure): 빠르고 순간적인 근육의 수축이 한쪽 또는 양쪽 팔다리와 몸통에 한 번 또는 연달아 반복되는 것이 특징이다. 깜짝 놀라는 듯한 불규칙적인 근육 수축이 나타나는데, 흔히 식사 중에 깜짝 놀라며 숟가락을 떨어뜨리는 형태로 잘 나타난다. 주로 잠에서 깬 직후에 발생하거나 수면이 부족할 때 발생하며, 피로감, 정신적인 스트레스, 광자극 등에 의해 심해지기도 한다. 이 발작은 청소년기에 종종 발병하는 청소년근육간대경련발작(juvenile myoclonic epilepsy)의 특징 중 하나이기도 하다. 또한 저산소성 뇌손상으로 인한 뇌전증에서 주로 나타나는 뇌전증 발작이기도 하다.
④ 무긴장발작: 순간적인 의식 소실과 함께 전신의 근육에서 힘이 빠지면서 넘어지는 형태이다. 넘어지면서 흔히 머리를 땅이나 가구에 부딪혀서 머리, 안면, 치아 등을 다치는 경우가 많다. 소아기에 나타나는 레녹스-가스토 증후군(Lennox-Gastaut syndrome)에서 주로 볼 수 있으며, 이 경우 치료 결과가 좋지 않은 편이다.

2. 뇌전증 증후군의 분류에 따른 증상
뇌전증 증후군(epileptic syndrome)은 뇌전증(epilepsy)을 해당하는 원인 및 국소화 또는 전반성 여부에 따라 분류한 것이다.
1) 열성 경련(febrile seizure): 소아에서 가장 흔한 형태의 발작이며, 생후 3개월에서 5세 사이에 시작되는 것이 보통이다. 전체 소아 발작의 약 2~5% 정도를 차지하며, 대개 후유증을 남기지 않는다. 하지만 약 20% 정도에서 발작이 15분 이상 지속되며 24시간 이내에 두 차례 이상 발생하면서 부분 발작으로 나타나는 경우는 복합열성발작(complex febrile seizure)라고 하여 후에 뇌전증으로로 이행하는 경우가 있다.
2) 중심관자극파를 동반한 양성소아뇌전증(양성롤란딕 뇌전증; benign childhood epilepsy with centrotemporal spikes, benign rolandic epilepsy): 4~13세 사이에 발생하며, 주로 수면 중에 뇌전증 발작이 발생하는 특징이 있다. 유전경향이 있으며, 남아에게 더 많이 발생한다. 한쪽 입주위의 씰룩거림 같은 짧은 간대경련이나 언어정지, 침흘림, 안면감각이상 등 주로 안면부 주위에서 시작되는 발작이 나타난다. 간혹 이차전신경련으로 진행하기도 한다. 항뇌전증약에 매우 잘 반응하며, 10대 후반 이후 완전히 소실되는 경우가 많다. 특징적인 뇌파소견이 있어 진단이 어렵지 않다.
3) 소아 소발작뇌전증(childhood absence epilepsy): 4~10세의 정상 소아에서 발병하며, 소발작뇌전증이 하루에도 수 회~ 수십 회 정도 빈번하게 발생한다. 여자 아이에서 상대적으로 흔하게 나타난다. 항뇌전증약에 대부분 잘 반응하고 성장하면서 사라지는 경우도 드물지 않게 관찰된다. 그러나 청소년기소발작뇌전증(juvenile absence epilepsy)은 소발작 외에 전신강직간대발작이 약 40% 내외에서 동반되며 지속적으로 약물을 복용해야 하는 경우가 많다.
4) 청소년 근육간대경련뇌전증(juvenile myoclonic epilepsy): 청소년근육간대경련뇌전증은 전체 뇌전증증후군의 약 7% 정도를 차지할 정도로 한다. 대개 12세~18세 사이에 발병하고, 주로 아침이나 잠에서 깬 직후에 나타나고 광자극에 의해 유발될 수 있다. 아침 식사를 하다가 깜짝 놀라면서 숟가락을 떨어뜨리거나, 양치질 중에 깜짝 놀라면서 칫솔을 떨어뜨리는 형태로 관찰된다. 종종 근육간대경련발작이 짧게 나타난 후 전신강직간대발작이 연이어 발생한다. 약물에 대한 반응은 매우 좋으나, 투약을 중단할 경우 다시 발작이 나타나는 경우가 많아 지속적으로 약물을 복용해야 한다.
5) 측두엽뇌전증(temporal lobe epilepsy): 성인에서 가장 많이 볼 수 있는 뇌전증으로, 여러 가지 원인이 있으나 내측두엽 특히 해마의 경화(hippocampal sclerosis)가 원인이 되는 경우가 가장 흔하다. 복합부분발작이 가장 흔하여, 배에서 이상한 느낌이 치밀어 오르는 명치조짐(epigastric aura) 등과 씹거나 삼키거나 만지작거리는 등의 자동증을 흔히 동반한다. 발작 후에는 대부분 혼돈이 발생하고, 이차전신발작으로 진행하는 경우도 흔하다. 해마 경화 이외에 내측두엽의 종양, 뇌졸중, 혈관기형, 겉질형성이상, 감염 등이 원인이 될 수 있다. 처음에는 약물에 대한 반응이 좋다가, 이후에 약물 난치성으로 이행하는 경우가 있어 치료에 어려움이 따른다. 해마 경화 및 일부의 겉질형성이상 등에서 수술로 원인 병소를 제거하는 치료를 시도하기도 하고, 수술이 가능한 환자에게는 수술의 효과가 상당히 좋은 편이다.
6) 뇌전증지속증(status epilepticus): 이는 30분 이상 지속적으로 뇌전증 발작이 이어지거나, 발작 사이에 의식의 회복 없이 반복되는 발작을 말한다. 전신발작뇌전증지속증(generalized convulsive status epilepticus)은 사망률이 20%에 이르는 응급 상황이다. 과거에는 30분을 뇌전증지속증의 기준으로 삼았으나, 실제로 개별적인 발작이 2분 이상 지속되는 경우는 매우 드물기 때문에, 최근에는 5분 이상 경련발작이 계속되거나 연속하여 발작이 일어나는 경우에는 뇌전증지속증에 준하여 치료하는 경향이 있다.",뇌전증(간질)의 가장 흔한 증상은 운동성 경련 발작입니다. 하지만 증상은 다양한 양상으로 나타납니다. 뇌의 영역과 위치에 따라 고유 기능이 모두 다르기 때문입니다. 
패혈증,['패혈증후군'],"['구토', '빈맥', '의식저하', '근육통', '저산소증', '반점', '자반', '심부전', '구역', '발작성빈맥', '소변량감소', '오한', '열', '저혈압', '빈호흡']","초기 증상으로는 호흡 수가 빨라지고, 지남력(시간, 장소, 사람에 대한 인지력)의 상실이나 정신 착란 등의 신경학적 장애가 나타날 수 있다. 혈압의 저하 및 신체 말단에 공급되는 혈액량의 저하로 인하여 피부가 시퍼렇게 보이기도 한다. 균혈증(세균이 혈액 내에 돌아다니는 증상)이 있으면 세균이 혈류를 따라 돌아다니다가 신체의 특정 부위에 자리를 잡아 그 부위에 병적인 변화를 일으킬 수 있다. 원인균에 특이적인 피부의 변화가 나타나서 패혈증의 원인을 진단하는 데 도움이 되기도 한다. 소화기 계통의 증상으로는 구역, 구토, 설사 및 장 마비 증세가 나타나고 심한 스트레스 상황에서는 소화기의 출혈 증상도 나타날 수 있다.","패혈증의 증상으로는 오한을 동반한 고열, 저체온과 동반되는 관절통, 두통, 권태감 등이 있습니다. 맥박은 빠르고 미약하며, 호흡은 빨라집니다. 패혈증이 중증이면 의식이 흐려집니다. 증상이 더 심해지면 저혈압에 빠지고 소변량이 줄면서 쇼크 상태에 이릅니다."
